# Urdu word -> IPA, as espeak-ng says it.
# Written by tools/urdu/lexbuild.py; do not edit by hand.
# 101580 words, of which 7504 had to be asked one at a time.
؁	sˈan
؃	ʂˈafha
،	sˈakta
؏	mˈɪʂraː
ؔ	taxˈallʊʂ
؛	ʋˈaqfa
ء	hˈamzah
ءءض	zˈʌ
ءءضءِ	zˈʌɪ
ءءل	lˈʌ
ءءلءِ	lˈʌɪ
ءءہ	ˈa
ءأؤ	ˈoː
ءؤ	ˈoː
ءاز	ˈaːz
ءث	sˈʌ
ءز	zˈʌ
ءض	zˈʌ
ءضء	zˈʌ
ءضءِ	zˈʌɪ
ءضہخ	zˈʌhəx
ءط	tˈʌ
ءظ	ʐˈʌ
ءٌ	ˈʊn
ءُ	ˈʊ
ءِ	ˈɪ
ءِؤر	ɪˈoːr
ءِؤرءض	ɪˈoːrəz
ءِا	ˈɪaː
ءِاد	ɪˈaːd
ءِبض	ˈɪbəz
ءّآ	ˈaː
ءْہ	ˈa
ءْہج	hˈʌɟ
ءہضءِ	hˈʌzˌɪ
آ	ˈaː
آءِ	ˈaːɪ
آءّ	ˈaːː
آؤ	ˈaːoː
آؤلی	aːˈoːli
آؤلیاں	aːˈoːljãː
آؤلے	aːˈoːleː
آؤنگا	aːˈoːnɡˌaː
آؤٹ	aːˈoːʈ
آؤٹر	aːˈoːʈər
آؤں	aːˈoːn
آئ	ˈaː
آئبس	ˈaːɪbˌəs
آئتا	ˈaːtaː
آئدیلسٹ	ˈaːɪɖˌiːalˌɪsʈ
آئر	ˈaːɪr
آئرس	ˈaːɪrˌəs
آئرستان	ˈaːɪrɪstˌaːn
آئرستانی	ˈaːɪrɪstˈaːni
آئرستانیوں	ˈaːɪrˌəstˌaːniˌõː
آئرسز	ˈaːɪrˌəsəz
آئرش	ˈaːɪrˌɪʃ
آئرشی	ˈaːɪrʃi
آئرلینڈ	ˈaːɪrlinɖ
آئرن	ˈaːɪrˌən
آئرین	ˈaːɪrˌiːn
آئزل	ˈaːɪzˌəl
آئس	ˈaːɪs
آئسنگ	ˈaːɪsˌɪnɡ
آئسکریم	ˈaːɪsˌəkrˌiːm
آئسہ	ˈaːɪsa
آئسیس	ˈaːɪsˌiːs
آئش	ˈaːɪʃ
آئفونز	ˈaːɪfˌoːnəz
آئل	ˈaːɪl
آئلہ	ˈaːɪla
آئلی	ˈaːɪlˌiː
آئلے	ˈaːɪlˌeː
آئمہ	ˈaːɪma
آئن	ˈaːɪn
آئند	ˈaːɪnd
آئندگان	ˈaːɪndˌəɡaːn
آئندہ	aːˈɪndˌa
آئنونز	ˈaːɪnˌoːnəz
آئنہ	ˈaːɪna
آئنی	ˈaːni
آئنے	ˈaːneː
آئوٹ	aːˈoːʈ
آئٹم	ˈaːɪʈˌəm
آئڈیالوجی	ˈaːɪɖjˌaːloːɟˌiː
آئڈیل	ˈaːɪɖˌial
آئڈیلز	ˈaːɪɖˌialz
آئڈیلزم	ˈaːɪɖˌiːalˌɪzam
آئڈیلسٹ	ˈaːɪɖˌialˌɪsʈ
آئڈیلوں	ˈaːɪɖˌialˌõː
آئی	ˈaːi
آئیجان	ˌaːiɟˈaːn
آئیدمیر	ˌaːidmˈiːr
آئیدن	aːˈiːdən
آئیدون	ˌaːidˈoːn
آئیس	aːˈiːs
آئیسنگ	ˌaːisˈɪnɡ
آئیلینڈ	ˌaːilˈiːnɖ
آئیملک	aːˈiːməlˌək
آئین	aːˈiːn
آئیند	aːˈiːnd
آئیندہ	aːˈiːnda
آئینوں	aːˈiːnõː
آئینگے	aːˈiːnɡˌeː
آئینہ	aːˈiːnˌa
آئینہء	aːˈiːnəh
آئینہطبع	aːˈiːnəhˌətbˌaː
آئینۂ	ˌaːinˈaeː
آئینی	aːˈiːni
آئینیت	ˌaːiniˈat
آئینے	aːˈiːneː
آئیون	ˌaːeːˈoːn
آئیوڈین	ˌaːeːoːɖˈiːn
آئیڈیا	aːˈiːɖjaː
آئیڈیاز	aːˈiːɖjaːz
آئیڈیالوجی	aːˈiːɖjaːlˌoːɟi
آئیڈیل	ˌaːiɖˈiːl
آئیڈیلزم	ˌaːiɖˈiːləzˌəm
آئیڈیلسٹ	ˌaːiɖˈiːlˌɪsʈ
آئیکون	ˌaːikˈoːn
آئیگی	aːˈiːɡi
آئیں	ˈaːẽː
آئیے	ˈaːjeː
آئے	ˈaːeː
آئےتن	aːˈeːtən
آاط	aːˈaːt
آاکنوں	aːˈaːknˌõː
آب	ˈaːb
آبا	ˈaːbaː
آباء	ˈaːbaː
آباؤ	aːbˈaːoː
آبائی	aːbˈaːi
آبائیت	ˌaːbaːiˈat
آباد	aːbˈaːd
آبادکاروں	ˌaːbaːdkˈaːrõː
آبادکاری	ˌaːbaːdkˈaːri
آبادگان	ˌaːbaːdɡˈaːn
آبادی	aːbˈaːdi
آبادیاں	aːbˈaːdjãː
آبادیوں	aːbˈaːdiˌõː
آبان	aːbˈaːn
آبتین	ˌaːbtˈiːn
آبدار	ˌaːbdˈaːr
آبداری	ˌaːbdˈaːri
آبرو	ˈaːbruː
آبروؤ	ˈaːbruːˌoː
آبروؤں	ˈaːbruːˌoːn
آبروئی	ˈaːbruːˌiː
آبروئیں	ˈaːbruːˌẽː
آبروئے	ˈaːbruːˌeː
آبرہ	ˈaːbəra
آبس	ˈaːbəs
آبستن	ˈaːbəsˌətən
آبستنی	aːbˈʌstni
آبستنیاں	ˌaːbəsətˈʌnjãː
آبستگی	ˈaːbəsˌətɡˌiː
آبستہ	ˈaːbəsta
آبشار	ˌaːbʃˈaːr
آبشاروں	ˌaːbʃˈaːrõː
آبص	ˈaːbəʂ
آبلا	ˈaːblˌaː
آبلوس	ˌaːblˈoːs
آبلوچ	ˌaːblˈoːc
آبلوں	ˈaːblˌõː
آبلہ	ˈaːbla
آبلۂ	ˌaːbəlˈaeː
آبلے	ˈaːblˌeː
آبنوس	ˈaːbnuːs
آبنوسوں	ˈaːbnuːsˌõː
آبنوسی	ˈaːbnuːsˌiː
آبنوش	ˌaːbnˈoːʃ
آبپاری	ˌaːbpˈaːri
آبپاریاں	ˌaːbpˈaːrjãː
آبپاشی	ˌaːbpˈaːʃi
آبگینوں	ˌaːbɡˈiːnõː
آبگینہ	ˌaːbɡˈiːnˌa
آبگینے	ˌaːbɡˈiːneː
آبی	ˈaːbi
آبیات	ˌaːbiˈaːt
آبیاتی	ˈaːbjaːtˌiː
آبیار	ˈaːbjaːr
آبیاری	ˈaːbjaːrˌiː
آبیانہ	ˈaːbjaːna
آبیدہ	aːbˈiːda
آبیل	aːbˈiːl
آبیلوں	aːbˈiːlõː
آت	ˈaːt
آتا	ˈaːtaː
آتش	ˈaːtɪʃ
آتشبازی	ˈaːtɪʃbˌaːzi
آتشیں	ˈaːtɪʃˌĩ
آتہ	ˈaːta
آتی	ˈaːti
آتے	ˈaːteː
آثار	aːsˈaːr
آج	ˈaːɟ
آجا	ˈaːɟaː
آجاؤ	aːɟˈaːoː
آجائیں	aːɟˈaːẽː
آجاتا	aːɟˈaːtaː
آخر	ˈaːxɪr
آخرت	ˌaːxɪrˈat
آخرکار	ˌaːxərkˈaːr
آخری	ˈaːxrˌiː
آداب	aːdˈaːb
آدم	ˈaːdəm
آدمی	ˈaːdmˌiː
آدمیوں	ˈaːdmˌiõː
آدھ	ˈaːdʰ
آدھا	ˈaːdʰaː
آدھار	aːdʰˈaːr
آدھاکرنا	aːdʰˈaːkərnaː
آدھو	ˈaːdʰoː
آدھوں	ˈaːdʰõː
آدھی	ˈaːdʰi
آدھیاں	ˈaːdʰjãː
آدھین	aːdʰˈiːn
آدھینہ	aːdʰˈiːnˌa
آدھیو	aːdʰˈeːoː
آدھیوں	ˈaːdʰiˌõː
آدھیں	ˈaːdʰẽː
آدھے	ˈaːdʰeː
آدیش	aːdˈiːʃ
آدینہ	aːdˈiːnˌa
آذار	aːzˈaːr
آذاری	aːzˈaːri
آذر	ˈaːzər
آذربائیجان	ˌaːzərbaːiɟˈaːn
آذری	ˈaːzrˌiː
آذریوں	ˈaːzrˌiõː
آذوقہ	aːzˈoːqˌa
آذین	aːzˈiːn
آذینہ	aːzˈiːnˌa
آر	ˈaːr
آرا	ˈaːraː
آراء	ˈaːraː
آرائش	aːrˈaɪʃ
آرائشوں	aːrˈaɪʃõː
آرائشی	aːrˈaɪʃi
آرائشیں	aːrˈaɪʃẽː
آرائندوں	aːrˈaɪndõː
آرائندہ	aːrˈaɪnda
آرائندے	aːrˈaɪndeː
آرائی	aːrˈaːi
آرائیاں	aːrˈaːjãː
آرائیوں	aːrˈaːiˌõː
آرار	aːrˈaːr
آرارا	aːrˈaːraː
آراستگی	aːrˈaːsətɡi
آراستہ	aːrˈaːstˌa
آراض	aːrˈaːz
آراضی	aːrˈaːzi
آراضیاں	aːrˈaːzjãː
آراضین	ˌaːraːzˈiːn
آرام	aːrˈaːm
آرامش	aːrˈaːməʃ
آراموں	aːrˈaːmõː
آرامی	aːrˈaːmi
آرامیدہ	ˌaːraːmˈiːda
